SYMBOL	Case_cnt	Control_cnt	diff
IGHV3-38	17	16	1
RSPH1	2	1	1
LOXHD1	5	4	1
SLC17A4	4	3	1
TMEM78	12	11	1
OR13C7P	29	28	1
PRDM2	2	1	1
UGT2A1	9	8	1
VWA3B	6	5	1
WI2-3658N16.1	3	2	1
SYNE2	16	15	1
PKD2L1	2	1	1
SLC26A5	3	2	1
ZNF812	15	14	1
GALR2	2	1	1
TTLL6	3	2	1
CCDC110	2	1	1
IGKV3D-15	6	5	1
POTEH	13	12	1
PARPBP	3	2	1
MPO	3	2	1
CYP2A6	9	8	1
C17orf80	2	1	1
IGHV3-53	3	2	1
FAM221A	2	1	1
C1orf194	2	1	1
KRTAP1-5	7	6	1
KCTD14	3	2	1
ACOXL	2	1	1
FAM186A	2	1	1
KANK4	2	1	1
TEX14	2	1	1
ATP8B3	8	7	1
AZU1	2	1	1
C10orf11	3	2	1
TOMM20L	2	1	1
XYLB	2	1	1
NBPF12	11	10	1
CHMP4C	8	7	1
HELB	3	2	1
ZNF525	2	1	1
CACNA1E	2	1	1
PGC	2	1	1
IL17RC	2	1	1
IGSF10	2	1	1
HAP1	2	1	1
SYTL3	2	1	1
SEC31B	2	1	1
POTEG	2	1	1
ECT2L	3	2	1
CBX3	2	1	1
AMDHD2	2	1	1
DRD4	2	1	1
RASSF6	2	1	1
NUDT17	4	3	1
PSCA	4	3	1
HTRA4	2	1	1
BRCA2	2	1	1
NT5C1B	2	1	1
GZMM	2	1	1
MMP10	3	2	1
RNF224	2	1	1
SYTL2	3	2	1
C1orf141	2	1	1
CAPN15	3	2	1
TPD52L3	3	2	1
PCDHB7	2	1	1
ENDOG	2	1	1
TGFBR3L	2	1	1
TMEM54	2	1	1
AKR1B10	2	1	1
TMEM177	2	1	1
BSPH1	2	1	1
DNAJC11	2	1	1
RFX8	3	2	1
CRNKL1	2	1	1
ZBED6CL	2	1	1
DNMT3A	2	1	1
FOXP2	2	1	1
HMGXB4	2	1	1
KB-1572G7.2	14	14	0
IGLV3-9	1	1	0
KB-67B5.12	12	12	0
IRAK3	2	2	0
OAS3	1	1	0
IGHV3-30	1	1	0
C6orf203	1	1	0
AMZ1	1	1	0
TRGC1	1	1	0
ZACN	33	33	0
DNAH12	1	1	0
FAM187B	45	45	0
LCN10	25	25	0
PRAMEF1	70	70	0
P2RX5	60	60	0
TBC1D31	30	30	0
GCSAML	8	8	0
OR2T11	1	1	0
KRT24	50	50	0
C11orf21	5	5	0
NBPF1	9	9	0
OR2T5	5	5	0
EPX	2	2	0
BRD7P2	6	6	0
CAPG	3	3	0
AGXT2	1	1	0
DNA2	1	1	0
IL34	12	12	0
ABCC11	7	7	0
ZNF100	1	1	0
OR4A16	6	6	0
METTL20	2	2	0
C12orf73	2	2	0
CRIPAK	22	22	0
CYP2C19	1	1	0
OR52L1	2	2	0
C1orf105	11	11	0
ATP6V1B1	35	35	0
ACSM1	1	1	0
SORD	1	1	0
TAAR2	2	2	0
MBP	1	1	0
C2orf73	1	1	0
PTGER3	2	2	0
IGHV1OR15-6	1	1	0
C12orf44	12	12	0
EP400NL	2	2	0
COX15	1	1	0
DNHD1	4	4	0
TEP1	1	1	0
IL17RB	9	9	0
OTOR	8	8	0
MAB21L3	1	1	0
ASTE1	7	7	0
ACTR3C	4	4	0
CYP2A7	9	9	0
TCP10L2	16	16	0
TENM3	1	1	0
CD33	4	4	0
RP11-16E18.1	2	2	0
ZNF474	7	7	0
ZNF214	2	2	0
A3GALT2	1	1	0
FNDC1	1	1	0
LPHN1	1	1	0
BMP2K	1	1	0
ZSCAN12	1	1	0
ANKRD30A	9	9	0
ACSM2A	1	1	0
INMT	3	3	0
OR5B12	3	3	0
AIM1	1	1	0
SDHA	1	1	0
ZNF780B	2	2	0
TSSK4	1	1	0
ADAMTS3	1	1	0
USP6	3	3	0
CASP14	1	1	0
OR7C1	2	2	0
GGN	1	1	0
MOGAT1	3	3	0
LRRC37A3	1	1	0
GPR142	1	1	0
PIK3C2G	1	1	0
C4orf47	1	1	0
ZNF600	1	1	0
ZNF543	2	2	0
ADCK2	2	2	0
SFXN3	1	1	0
AGBL1	2	2	0
NOXO1	3	3	0
LRRC31	1	1	0
EMR2	2	2	0
ASB15	1	1	0
DLEC1	1	1	0
MATR3	2	2	0
ZNF785	1	1	0
GIMAP8	3	3	0
ATP13A4	1	1	0
MMP20	1	1	0
ZSWIM1	1	1	0
SULT1C4	1	1	0
ZNF846	1	1	0
SLC5A4	2	2	0
SLC25A15P2	2	2	0
SLC46A3	1	1	0
TMEM106A	1	1	0
DERA	1	1	0
MAN2A2	1	1	0
C1orf127	4	4	0
PRRT2	1	1	0
CCDC60	1	1	0
FCGR1A	3	3	0
C1orf189	2	2	0
PPP3CC	1	1	0
ABCA9	1	1	0
CEP192	2	2	0
ARHGEF37	1	1	0
PRSS3P2	1	1	0
CD36	1	1	0
CACNA1D	1	1	0
ZNF286B	1	1	0
ZNF180	1	1	0
TIAM2	3	3	0
ZMIZ2	1	1	0
PUS3	1	1	0
PSG4	1	1	0
DUXA	1	1	0
AP000593.6	4	4	0
TLR10	1	1	0
SH3TC1	1	1	0
KCTD18	3	3	0
ENPEP	1	1	0
NUTM2HP	2	2	0
NUP88	1	1	0
RSPH10B	1	1	0
PSPHP1	2	2	0
LAMB4	2	2	0
CLCN1	1	1	0
NAA16	1	1	0
NPIPA5	1	1	0
GFY	1	1	0
FKBP7	1	1	0
AOX1	1	1	0
L3MBTL1	1	1	0
SGK2	1	1	0
PRB1	1	1	0
FGGY	1	1	0
SYCE1L	1	1	0
C5orf45	1	1	0
PCDHB3	2	2	0
FAM86GP	1	1	0
FPGT-TNNI3K	1	1	0
DYSF	1	1	0
DAPL1	2	2	0
AIFM3	1	1	0
BPIFB3	3	3	0
CASP5	3	3	0
DNAH9	1	1	0
GPR89B	1	1	0
CACNA1B	1	1	0
CEP104	1	1	0
RBKS	1	1	0
KMT2B	1	1	0
CEP135	1	1	0
TRERF1	1	1	0
FTOP1	1	1	0
POTEC	1	1	0
CCL26	2	2	0
LPIN3	2	2	0
MIIP	1	1	0
ITPR3	1	1	0
AHI1	1	1	0
LGSN	1	1	0
PROM2	1	1	0
CCDC158	1	1	0
SCRN2	1	1	0
WIPI1	1	1	0
OR52M1	1	1	0
C2orf70	2	2	0
C1orf173	1	1	0
KDM2B	1	1	0
WDHD1	1	1	0
AOAH	1	1	0
AAED1	1	1	0
GOLGA8M	1	1	0
ZNF124	1	1	0
TMC7	1	1	0
CFHR2	1	1	0
IGF2	1	1	0
OTOF	1	1	0
STAM	1	1	0
RP11-293B20.2	1	1	0
TRIO	1	1	0
C1orf186	1	1	0
NTHL1	1	1	0
SLC2A11	1	1	0
VWA8	1	1	0
GCKR	1	1	0
USH2A	1	1	0
GCA	1	1	0
VEPH1	1	1	0
LIPJ	1	1	0
CCDC113	1	1	0
