SYMBOL	s
PHKA1	3
PIKFYVE	3
PLAUR	3
PLEKHH1	3
PNPLA1	3
POLR1E	3
POM121L7	3
PPIP5K2	3
PRAMEF7	3
PRDM12	3
PSCA	3
PTTG2	3
RABEPK	3
RFPL4AL1	3
RGAG1	3
RGPD4	3
RMST	3
RNU6-671P	3
ROBO2	3
RP11-113D6.6	3
RP11-301J16.7	3
RP11-551L14.1	3
RP3-510D11.1	3
RRP15	3
SERPINA10	3
SERPINB4	3
SETD4	3
SFXN2	3
SH2B2	3
SHANK1	3
SIGLEC1	3
SIX1	3
SLC17A4	3
SLC26A10	3
SLC35F5	3
SLC9B1P3	3
SPSB2	3
SSXP3	3
ST13P19	3
STAP2	3
SYT15	3
SYTL2	3
TGM4	3
THNSL1	3
THSD7B	3
TIAM2	3
TMEM254-AS1	3
TNK2	3
TRBV7-7	3
TRIM37	3
TRMT61B	3
TSTD2	3
TTC24	3
TTLL3	3
UBE2W	3
UNC13D	3
UPF2	3
USP6	3
VPS54	3
XPOT	3
XRN2	3
ZBP1	3
ZIM3	3
ZNF212	3
ZNF418	3
ZNF429	3
ZNF594	3
ZNF626	3
ZNF844	3
ZNF860	3
ZSCAN31	3
AASDH	2
AASS	2
ABCB5	2
ABL2	2
AC005532.5	2
AC006272.2	2
AC007879.2	2
AC008686.1	2
AC008703.1	2
AC012309.5	2
AC027612.6	2
AC079354.1	2
AC092168.4	2
AC092850.1	2
AC098826.4	2
ACAD11	2
ACAD9	2
ACOT9	2
ACSF2	2
ACSM3	2
ACTN1	2
ADA	2
ADCK2	2
ADCK5	2
AFF3	2
AGAP2	2
AGBL1	2
AHCTF1	2
AKNA	2
ALDH3A1	2
ALOX12B	2
ALOX15	2
ALPI	2
AMICA1	2
AMZ2	2
ANAPC1P1	2
ANKRD20A4	2
ANKRD20A7P	2
ANLN	2
AOX1	2
APC	2
APC2	2
ARHGAP39	2
ARL11	2
ASPM	2
ATF7IP	2
ATP4A	2
ATP8B1	2
ATP9B	2
AXIN1	2
AZI1	2
BAI1	2
BBS1	2
BCL9L	2
BIRC6	2
BLM	2
BOD1L1	2
BPTF	2
BRD4	2
BRD7	2
BRDT	2
BRPF3	2
BSDC1	2
BSN	2
BTN2A1	2
BTNL8	2
C12orf73	2
C1orf189	2
C1orf53	2
C20orf26	2
C20orf96	2
C2orf70	2
C3orf27	2
C3orf79	2
C5orf48	2
C6orf118	2
C6orf123	2
CACHD1	2
CACNA1D	2
CAMK2B	2
CAMSAP2	2
CAPN15	2
CARD8	2
CASP4	2
CBR3	2
CCDC38	2
CCL26	2
CCT8L2	2
CDAN1	2
CDCA3	2
CDH18	2
CDH26	2
CDK14	2
CDK5RAP1	2
CDS2	2
CENPF	2
CEP135	2
CEP192	2
CEP350	2
CERKL	2
CES1	2
CFHR2	2
CFHR4	2
CFHR5	2
CGNL1	2
CHD2	2
CHORDC1	2
CIC	2
CLCN1	2
CLCN6	2
CLIC2	2
CLYBL	2
CNKSR1	2
CNTNAP3	2
COL11A1	2
COL22A1	2
COL5A1	2
CORIN	2
CPNE1	2
CPSF3	2
CREB1	2
CROCC	2
CRYBA4	2
CSMD2	2
CTA-992D9.6	2
CTB-23I7.1	2
CTC-786C10.1	2
CTD-2144E22.10	2
CTNNAL1	2
CTNNB1	2
CWF19L2	2
CYLC2	2
DAPL1	2
DCLRE1A	2
DDR2	2
DDX3X	2
DDX41	2
DHCR7	2
DIDO1	2
DIP2C	2
DIRC3	2
DIS3	2
DMXL2	2
DNAH1	2
DNAH17	2
DNAH2	2
DNAH6	2
DNAH9	2
DNAJC12	2
DOCK5	2
DOPEY2	2
DPP4	2
DPY19L4	2
DPYD	2
DST	2
DUSP18	2
DYRK1A	2
EBLN2	2
ECHDC1	2
ECT2L	2
EFCAB4A	2
EIF5	2
EMR2	2
ENPEP	2
EP400NL	2
ERAP1	2
ERCC8	2
ERI1	2
ESRRG	2
FAM104B	2
FAM122C	2
FAM157A	2
FAM208A	2
FAM209A	2
FAM214B	2
FAM227B	2
FAM27E2	2
FAM86A	2
FAM98C	2
FANCF	2
FANK1	2
FBP2	2
FBXW10	2
FGB	2
FLNA	2
FMO6P	2
FMO9P	2
FN1	2
FOXP2	2
FPGT-TNNI3K	2
FSD2	2
FSIP2	2
FTSJ1	2
FXYD4	2
G6PD	2
GALNT16	2
GCKR	2
GCN1L1	2
GH2	2
GJA1	2
GLG1	2
GNB2	2
GOLGA2	2
GPR123	2
GPR137	2
GSTA1	2
H2AFY	2
HACL1	2
HARS	2
HDAC6	2
HEATR6	2
HELB	2
HELZ2	2
HEXIM2	2
HINFP	2
HIST1H2AH	2
HKR1	2
HMMR	2
HNRNPA1L2	2
HYKK	2
IFI44L	2
IFLTD1	2
IFT172	2
IGHD3-9	2
IGHJ1	2
IGHJ4	2
IGHV1-18	2
IGHV3-13	2
IGHV3-20	2
IGHV3-53	2
IGHV3-9	2
IGKV1-33	2
IGKV1-39	2
IGKV4-1	2
IGLL1	2
IGLV3-25	2
IGSF10	2
INTS9	2
IPO13	2
IPP	2
IQCK	2
IRAK3	2
IRS1	2
ITGA3	2
ITIH2	2
ITPR3	2
ITSN1	2
JAG2	2
KCNH3	2
KCNK15	2
KCTD19	2
KIAA0907	2
KIAA1919	2
KIAA2018	2
KIF15	2
KIF24	2
KIF9	2
KIR2DP1	2
KLK10	2
KLRG2	2
KMT2D	2
KRT3	2
KRT33B	2
KRT76	2
KRT84	2
KRTAP2-4	2
KRTAP5-5	2
LAD1	2
LAMB4	2
LCE1D	2
LCK	2
LETMD1	2
LILRB1	2
LILRB3	2
LILRB4	2
LINC01138	2
LIPM	2
LRRK1	2
LRWD1	2
LSMD1	2
LSS	2
MACF1	2
MAGEC1	2
MAN2B1	2
MAP2K1	2
MARCKS	2
MATR3	2
MBD6	2
MCM3AP	2
MCTP1	2
MDM1	2
ME1	2
METTL18	2
METTL20	2
MFHAS1	2
MFSD6L	2
MICAL1	2
MICALL2	2
MICU2	2
MICU3	2
MKI67	2
MLLT4	2
MLPH	2
MMP10	2
MMP16	2
MRO	2
MROH3P	2
MSH4	2
MSLN	2
MST1L	2
MT-CO1	2
MUC5B	2
MUT	2
MX1	2
MYO15A	2
MYO1A	2
MYO3A	2
MYO9A	2
MYOM3	2
NBAS	2
NBPF24	2
NCAN	2
NCAPH	2
NCL	2
NCR3LG1	2
NDUFS3	2
NEB	2
NEBL	2
NFKB1	2
NLE1	2
NLRP4	2
NOMO1	2
NPM1P31	2
NSD1	2
NT5C1B	2
NT5DC2	2
NTF3	2
NUP153	2
NUTM2HP	2
NXF2	2
OACYLP	2
OBSCN	2
ODF1	2
ODF3	2
OPN4	2
OR1J2	2
OR2D2	2
OR2T27	2
OR52I2	2
OR52L1	2
OR7E24	2
OR8J2	2
OTOP1	2
OTOP2	2
OTOP3	2
PARP15	2
PARPBP	2
PATE1	2
PCDHA2	2
PCDHB12	2
PCDHB3	2
PCK2	2
PCNX	2
PEF1	2
PHEX	2
PIK3C2A	2
PKP3	2
PLCB4	2
PLEKHG6	2
PLK5	2
PMS2	2
PNPLA8	2
POLQ	2
POM121L12	2
PON3	2
POTEE	2
POTEF	2
PPM1F	2
PPP1R12A	2
PRELID2	2
PREX1	2
PRKDC	2
PROCA1	2
PROM2	2
PRSS50	2
PRTFDC1	2
PSG3	2
PSPHP1	2
PTGER3	2
PTGS2	2
PTH2R	2
PWP2	2
PXDNL	2
PYGM	2
PYHIN1	2
PZP	2
QRSL1	2
QTRTD1	2
RABL3	2
RAD52	2
RBAK	2
RBKS	2
RBM3	2
RET	2
RETSAT	2
RFX8	2
RGL3	2
RGPD3	2
RHBDF2	2
RNASEH2A	2
RNF220	2
RP1	2
RP11-113E21.1	2
RP11-115J16.2	2
RP11-122M14.1	2
RP11-16E18.1	2
RP11-181C3.1	2
RP11-373I8.1	2
RP11-375H17.1	2
RP11-45A12.2	2
RP11-521D12.2	2
RP11-533K9.3	2
RP11-63P12.2	2
RP11-754N21.1	2
RP4-610C12.1	2
RP4-683M8.2	2
RPE	2
RSPH3	2
RSPO1	2
S100B	2
SACM1L	2
SACS	2
SAMD9L	2
SATL1	2
SDR39U1	2
SEC24B-AS1	2
SECTM1	2
SELPLG	2
SERAC1	2
SERPINB3	2
SH3BP1	2
SHF	2
SHMT1	2
SHQ1	2
SIGLEC9	2
SIN3B	2
SLC13A1	2
SLC22A25	2
SLC25A10	2
SLC25A13	2
SLC25A15P2	2
SLC26A5	2
SLC2A4	2
SLC35B3	2
SLC43A3	2
SLC4A7	2
SLC5A4	2
SLCO6A1	2
SLFN12	2
SLFN12L	2
SMARCA4	2
SMCHD1	2
SMPD3	2
SORD	2
SPAG9	2
SPANXN4	2
SPEG	2
SPG11	2
SRCAP	2
SRRM1	2
STARD9	2
STAT4	2
STAT6	2
SUCNR1	2
SULT1C3	2
SYCP1	2
SYT8	2
TAAR2	2
TACC3	2
TBC1D10B	2
TBC1D28	2
TCERG1	2
TCP10	2
TDRD6	2
TG	2
THAP3	2
TIGD5	2
TLR10	2
TMCO4	2
TMEM106A	2
TMEM135	2
TMEM161B	2
TMEM176B	2
TMEM211	2
TMEM67	2
TMTC1	2
TNNT3	2
TOR2A	2
TPD52L3	2
TPTE2	2
TRAPPC9	2
TRBV6-1	2
TREML2	2
TRIM41	2
TRIM42	2
TRIM54	2
TRIO	2
TRPM4	2
TTLL4	2
TTLL6	2
TXNIP	2
UBE3B	2
UBQLNL	2
UBTF	2
UBXN10	2
UGGT2	2
UNC79	2
UPF3B	2
USMG5	2
USP28	2
USP30	2
UTP20	2
VCX	2
VILL	2
VWA8	2
WDR17	2
WDR27	2
WDR55	2
WDR89	2
WDR93	2
WI2-3658N16.1	2
WNK4	2
WRNIP1	2
ZBTB4	2
ZC3H18	2
ZFP42	2
ZFP91	2
ZNF17	2
ZNF214	2
ZNF254	2
ZNF430	2
ZNF525	2
ZNF543	2
ZNF544	2
ZNF547	2
ZNF585B	2
ZNF600	2
ZNF736	2
ZNF772	2
ZNF780B	2
ZNF846	2
ZNFX1	2
ZSCAN5B	2
ZSWIM2	2
7SK	1
A1CF	1
A3GALT2	1
A4GNT	1
AAAS	1
AADAT	1
AAED1	1
AASDHPPT	1
ABAT	1
ABCA6	1
ABCA9	1
ABCB8	1
ABCC2	1
ABCC3	1
ABCD3	1
ABCE1	1
ABCG5	1
ABCG8	1
ABHD3	1
ABI1	1
ABL1	1
ABR	1
AC002511.1	1
AC004166.6	1
AC005276.1	1
AC006378.2	1
AC007106.1	1
AC007680.2	1
AC009120.5	1
AC009499.1	1
AC009965.2	1
AC011518.2	1
AC012668.2	1
AC022498.1	1
AC023115.1	1
AC068196.1	1
AC073135.4	1
AC092594.1	1
AC103564.7	1
AC105443.2	1
AC139712.4	1
AC144525.1	1
ACADL	1
ACADM	1
ACADSB	1
ACADVL	1
ACAP1	1
ACKR2	1
ACLY	1
ACN9	1
ACOX2	1
ACOXL	1
ACP5	1
ACPP	1
ACSBG1	1
ACSM1	1
ACSM2A	1
ACTBL2	1
ACTL6A	1
ACTN2	1
ACVR2A	1
ADAM28	1
ADAM30	1
ADAM7	1
ADAMTS12	1
ADAMTS19	1
ADAMTS20	1
ADAMTS3	1
ADAMTS5	1
ADAMTS9	1
ADAMTSL1	1
ADAMTSL2	1
ADAMTSL5	1
ADAR	1
ADAT1	1
ADCK3	1
ADCY1	1
ADCY10P1	1
ADCY3	1
ADCY4	1
ADCY7	1
ADCY8	1
ADH1A	1
ADK	1
ADRA1A	1
ADRA2C	1
ADRB3	1
ADRM1	1
ADSL	1
AFAP1L1	1
AFP	1
AGA	1
AGGF1	1
AGPAT9	1
AGPS	1
AGRN	1
AGTPBP1	1
AGXT2	1
AHDC1	1
AHI1	1
AIDA	1
AIFM1	1
AIFM3	1
AIG1	1
AIM1	1
AIM1L	1
AKAP11	1
AKAP12	1
AKAP14	1
AKR1B1	1
AKR1B10	1
AKR1D1	1
AL603965.1	1
AL627309.1	1
ALDH4A1	1
ALDH8A1	1
ALG1	1
ALG12	1
ALG13	1
ALG14	1
ALG1L2	1
ALG2	1
ALG8	1
ALS2CR12	1
AMDHD1	1
AMDHD2	1
AMELY	1
AMER1	1
AMN	1
AMZ1	1
ANAPC2	1
ANGEL1	1
ANGPTL5	1
ANK2	1
ANKRA2	1
ANKRD18B	1
ANKRD20A3	1
ANKRD27	1
ANKRD30B	1
ANKRD32	1
ANKRD46	1
ANKRD50	1
ANKRD62P1	1
ANO10	1
ANO7	1
ANO8	1
ANTXR2	1
ANXA1	1
