SYMBOL	s
DYRK4	1
DZANK1	1
E4F1	1
EBF4	1
EBI3	1
ECHDC1	1
ECSIT	1
EDDM3A	1
EDDM3B	1
EEF1A1	1
EEF2	1
EFCAB4A	1
EFCAB6	1
EFCC1	1
EFTUD1P2	1
EGFLAM	1
EHHADH	1
EHMT1	1
EIF3D	1
EIF3F	1
EIF4E3	1
EIF4G1	1
ELAVL4	1
ELF1	1
ELMO2	1
EML3	1
EML4	1
ENPEP	1
ENPP1	1
ENTPD3	1
EP400	1
EPHA6	1
EPHA8	1
EPS15L1	1
EPS8L3	1
ERAP2	1
ERBB2	1
ERBB2IP	1
ERCC6L2	1
EREG	1
ERI1	1
ERI3	1
ERO1LB	1
ESRP2	1
ESRRG	1
EVI5	1
EVI5L	1
EVL	1
EVX2	1
EXD2	1
EXOC3	1
EXOC5	1
EXOSC2	1
EXPH5	1
F10	1
F13B	1
FAH	1
FAHD2B	1
FAM109A	1
FAM117A	1
FAM120C	1
FAM124A	1
FAM129B	1
FAM149A	1
FAM153C	1
FAM169B	1
FAM184A	1
FAM193B	1
FAM196B	1
FAM198B	1
FAM205CP	1
FAM208B	1
FAM20A	1
FAM20C	1
FAM229B	1
FAM27E2	1
FAM3B	1
FAM71F1	1
FAM76A	1
FAM83B	1
FAM83C	1
FAM84A	1
FAM86B1	1
FAM86C1	1
FAN1	1
FANCE	1
FANCI	1
FARP1	1
FARP2	1
FARS2	1
FASN	1
FASTKD2	1
FASTKD3	1
FAT4	1
FBF1	1
FBN1	1
FBN2	1
FBP1	1
FBRS	1
FBXL18	1
FBXL2	1
FBXL5	1
FBXO21	1
FBXO22	1
FBXO38	1
FBXO47	1
FBXW12	1
FCHO1	1
FCHSD2	1
FCN3	1
FCRL6	1
FEM1C	1
FGGY	1
FHL3	1
FHOD3	1
FIGF	1
FIZ1	1
FKBP3	1
FKBP4	1
FKBP5	1
FKBP8	1
FLCN	1
FMN2	1
FNDC1	1
FNDC8	1
FOCAD	1
FOLH1	1
FOXD4L3	1
FOXI1	1
FOXRED2	1
FPGT-TNNI3K	1
FRA10AC1	1
FRG1B	1
FRMD1	1
FRMPD1	1
FSCN3	1
FSHR	1
FUNDC1	1
FUT3	1
FUT4	1
FUT5	1
FUT6	1
FUT8	1
FXR1	1
FXYD3	1
FZD3	1
G3BP2	1
GAA	1
GABRB3	1
GABRD	1
GAK	1
GALNS	1
GALNT3	1
GALNT6	1
GAN	1
GAPVD1	1
GAS2L3	1
GAS8	1
GCC2	1
GCGR	1
GCKR	1
GCM1	1
GCM2	1
GCNT1	1
GDF5	1
