SYMBOL	Case_cnt	Control_cnt	diff
SGK2	1	1	0
FGGY	1	1	0
SPSB2	2	2	0
C5orf45	1	1	0
FAM86GP	1	1	0
DAPL1	2	2	0
SEC31B	1	1	0
CTSA	1	1	0
SPANXN2	1	1	0
BPIFB3	3	3	0
PYGM	1	1	0
RP5-837I24.2	1	1	0
DIS3	1	1	0
MIIP	1	1	0
CCL26	2	2	0
LPIN3	2	2	0
POTEC	1	1	0
C2orf70	2	2	0
MDM1	1	1	0
SELM	1	1	0
AOAH	1	1	0
ZNF124	1	1	0
GOLGA8M	1	1	0
TMC7	1	1	0
CFHR2	1	1	0
EME2	1	1	0
OTOF	1	1	0
FBP2	1	1	0
NTHL1	1	1	0
C1orf186	1	1	0
GCKR	1	1	0
GCA	1	1	0
CCDC113	1	1	0
CCDC17	1	1	0
PIGPP2	1	1	0
HS6ST1	1	1	0
SERPINB3	2	2	0
ZNF154	1	1	0
ADAMTS12	1	1	0
TTC23L	1	1	0
OR52N5	1	1	0
GUCY1A3	1	1	0
MKI67	1	1	0
BSPH1	1	1	0
CROCCP2	1	1	0
NAT1	4	5	-1
ABCB7	4	5	-1
ZFP91	1	2	-1
DPPA4	3	4	-1
OR7G3	6	7	-1
GH2	1	2	-1
AIM2	2	3	-1
EBLN2	1	2	-1
OR52I2	1	2	-1
TBC1D29	4	5	-1
RFPL4AL1	2	3	-1
ZNF418	2	3	-1
IGHV1-2	4	5	-1
PXDNL	1	2	-1
OR52N1	5	6	-1
GSTA1	1	2	-1
MYLKP1	4	5	-1
DNAH14	9	10	-1
C1orf185	1	2	-1
DUSP18	1	2	-1
ZNF860	2	3	-1
OPN4	1	2	-1
SLC13A1	1	2	-1
SMPD4	4	5	-1
PRODH	10	11	-1
OR4M2	2	3	-1
ZNF844	1	2	-1
POTEH	10	11	-1
C7orf33	5	6	-1
AC007952.5	3	4	-1
RNF133	5	6	-1
FLG2	25	26	-1
VWA3B	4	5	-1
PDIA2	2	3	-1
RP11-683L23.1	22	23	-1
PSG7	26	27	-1
CWH43	2	3	-1
CARD6	5	6	-1
LPAL2	21	22	-1
HIST1H2AH	1	2	-1
TMPRSS4	43	44	-1
ZNF544	1	2	-1
C8orf44	3	4	-1
CALML4	2	3	-1
OR13C5	24	25	-1
GUCA1C	38	39	-1
CEP170	12	13	-1
C10ORF68	12	13	-1
PRUNEP1	77	78	-1
MST1P2	34	35	-1
C9orf43	12	13	-1
UBE2NL	64	65	-1
DBI	25	26	-1
DCLRE1A	1	2	-1
OR51I1	4	5	-1
AHCTF1	1	2	-1
ITGA10	1	2	-1
LSMD1	1	2	-1
TNNT3	1	2	-1
C9orf152	2	3	-1
OLFM4	1	2	-1
USMG5	1	2	-1
MICU2	1	2	-1
RGPD4	2	3	-1
FAM86A	1	2	-1
ZNF594	1	2	-1
ZNF772	1	2	-1
AC005532.5	1	2	-1
CES1	1	2	-1
LAD1	1	2	-1
AC079354.1	1	2	-1
ADAM2	1	2	-1
HYKK	1	2	-1
ABCD1	2	3	-1
ECT2L	1	2	-1
CTC-786C10.1	1	2	-1
UBQLNL	1	2	-1
IPP	1	2	-1
MST1L	1	2	-1
ODF1	1	2	-1
GPR123	1	2	-1
FAM209A	1	2	-1
RP3-510D11.1	1	3	-2
PLEKHH1	1	3	-2
CCDC125	6	8	-2
PRPS1L1	5	7	-2
RABEPK	1	3	-2
TSPO2	3	5	-2
ALOX15P2	6	8	-2
SLC9B1P3	1	3	-2
IGHV4-28	15	17	-2
KRT31	3	5	-2
SIGLEC1	1	3	-2
SLC9A8	1	3	-2
AMY1C	9	11	-2
RNF32	8	10	-2
MMP8	5	7	-2
ANKMY1	21	23	-2
OR8I2	9	11	-2
OR5M10	8	10	-2
OR5M11	8	10	-2
VIT	2	4	-2
ABCC12	3	5	-2
SERPINB4	1	3	-2
EFCAB5	5	7	-2
OR13C2	24	26	-2
ZNF80	34	36	-2
FCGR2A	19	21	-2
NBPF10	4	6	-2
CTU2	76	78	-2
RBBP6	73	75	-2
GGT3P	14	16	-2
PKHD1L1	5	7	-2
DDIT4L	14	16	-2
MOB3C	61	63	-2
KRTAP13-2	54	56	-2
TPTE	59	61	-2
IFNA10	32	34	-2
ZBP1	1	3	-2
ZNF599	1	3	-2
OR1J1	2	4	-2
FAM153C	1	3	-2
IGHV4-4	1	3	-2
RNU6-671P	1	3	-2
CUBNP2	1	3	-2
ZIM3	1	3	-2
SSXP3	1	3	-2
MAMDC4	1	3	-2
TMEM225	2	4	-2
RP11-113D6.6	1	3	-2
FRMPD2	1	3	-2
FAM71A	1	3	-2
RIPK3	1	4	-3
COQ2	1	4	-3
PPEF2	9	12	-3
FCN3	6	9	-3
KIAA1407	1	4	-3
ZNF101	4	7	-3
CLEC7A	9	12	-3
L1TD1	2	5	-3
OR51B5	6	9	-3
IGKV3D-11	4	7	-3
PSG8	11	14	-3
MAGEB16	55	58	-3
OR51F1	50	53	-3
SLC35G6	76	79	-3
C12orf60	22	25	-3
ZNF486	1	4	-3
SPHK1	1	4	-3
ASCL3	2	5	-3
CASP8	1	4	-3
P2RX7	1	4	-3
MMP2	1	4	-3
USP54	1	4	-3
RP9	1	4	-3
ATP13A5	2	6	-4
MADD	7	11	-4
BEST3	2	6	-4
ANKRD20A5P	7	11	-4
IGHV3-43	2	6	-4
SLC22A14	4	8	-4
TRBV11-1	13	17	-4
LAIR2	15	19	-4
GRP	9	13	-4
NDUFV3	6	10	-4
FAM86HP	7	11	-4
RBAK-RBAKDN	9	13	-4
NOMO3	7	11	-4
NOMO2	6	10	-4
ACOT4	21	25	-4
STARD6	4	8	-4
RP11-274M4.1	25	29	-4
HTR3E	25	29	-4
DYX1C1	10	14	-4
RP11-415I12.2	63	67	-4
NCAPH2	14	18	-4
UNC93A	16	20	-4
LPL	23	27	-4
C10orf113	31	35	-4
HYAL4	8	12	-4
NOTCH2NL	61	65	-4
FMO2	12	16	-4
OR2D3	3	7	-4
SLFN13	14	18	-4
ZNF586	44	48	-4
ZNF681	28	32	-4
RP11-764K9.4	78	82	-4
SLC22A24	77	81	-4
AGAP9	1	5	-4
LIMS1	1	5	-4
OR4D6	1	5	-4
GJB4	5	10	-5
SLC3A1	13	18	-5
OR10J1	18	23	-5
XRCC4	14	19	-5
OR5H15	4	9	-5
TYW1B	28	33	-5
TEX26	43	48	-5
DEFB126	61	66	-5
C2orf83	39	44	-5
NOS2P1	34	39	-5
MOK	18	23	-5
CELA1	56	61	-5
OR1S1	40	45	-5
FAM111B	3	8	-5
ANKRD20A1	1	6	-5
NLRP13	1	6	-5
PIWIL3	1	6	-5
KAT2A	1	6	-5
DCAKD	2	8	-6
OR5B3	4	10	-6
PDE6B	4	10	-6
OR6Q1	29	35	-6
ALDH1B1	2	8	-6
GPRIN1	34	40	-6
CCR5	7	13	-6
PRB4	22	28	-6
SCRN3	48	54	-6
RFPL1	21	27	-6
C5orf20	63	69	-6
DHRS4L2	11	17	-6
OR5AC2	28	34	-6
CES5A	17	23	-6
TRIM51GP	76	82	-6
OR8K1	70	76	-6
CCDC144NL	78	84	-6
PARP4P2	56	62	-6
TLR8	22	28	-6
IFIH1	5	11	-6
MUC7	11	18	-7
SLC5A9	15	22	-7
ADCY2	1	8	-7
AKR1E2	17	24	-7
DNAJC28	31	38	-7
KRTAP19-6	77	84	-7
MTMR6	11	18	-7
SLC22A1	63	70	-7
CHRFAM7A	51	58	-7
GXYLT1	17	24	-7
ZNF77	3	10	-7
LILRA1	1	8	-7
ZDHHC11B	1	8	-7
CSAG1	13	21	-8
AC009892.5	4	12	-8
PSG9	12	20	-8
ENDOV	2	10	-8
TMPRSS11A	33	41	-8
PSRC1	78	86	-8
CLDN16	31	39	-8
RABL2A	1	9	-8
AMPD1	18	27	-9
KCNMB3	9	18	-9
RP11-1396O13.13	11	20	-9
CATSPER2	38	47	-9
WASH7P	4	13	-9
ZNF443	24	33	-9
C14orf105	74	83	-9
PYGL	43	52	-9
PTCHD3	73	82	-9
OR5AR1	75	84	-9
ZNF419	69	78	-9
TCTEX1D1	20	29	-9
HIBCH	58	67	-9
SLC22A10	61	70	-9
TLR5	2	11	-9
AL133373.1	2	12	-10
CNN2	6	16	-10
OR4C3	78	88	-10
NCOR1	78	88	-10
RP11-640M9.2	57	67	-10
SIRPA	47	57	-10
MS4A12	48	58	-10
OR4P4	16	27	-11
OR2T4	60	71	-11
OR2C1	6	17	-11
TIGD6	55	66	-11
DSC3	78	89	-11
CEACAM21	74	85	-11
HTR3D	61	72	-11
OR5K2	17	28	-11
AKAP3	14	26	-12
NIPAL2	57	69	-12
PABPC3	67	79	-12
SIGLEC12	24	36	-12
BCLAF1	1	13	-12
ZNF852	78	91	-13
OR4X1	71	84	-13
SLC41A3	23	37	-14
OR2L8	78	92	-14
ADH1C	78	92	-14
ITIH5	78	92	-14
PSG1	17	31	-14
OAS2	69	83	-14
BTN3A2	14	29	-15
OR2T35	77	92	-15
SON	78	93	-15
NLRP8	70	85	-15
PDE4DIP	78	93	-15
OR5K4	56	71	-15
C12orf54	77	92	-15
KIAA1841	4	20	-16
OR51Q1	47	63	-16
EFCAB13	69	85	-16
ZNF480	71	88	-17
OR6C74	36	54	-18
OR9K2	37	55	-18
APOL4	10	28	-18
MS4A14	67	85	-18
ALDH3B2	1	27	-26
MT-CO3	8	83	-75
MT-ND4	9	85	-76
